age,service,social,booked,target
28,2,0,0,1
29,4,1,0,0
30,1,0,1,0
34,1,1,1,0
29,2,1,0,1
37,5,0,1,1
30,1,0,0,1
37,1,0,1,0
30,4,0,0,0
31,1,1,1,0
30,1,1,0,1
30,3,0,0,0
37,6,0,1,0
37,1,1,1,0
36,1,1,0,0
31,4,0,1,0
36,2,0,0,0
28,3,0,1,0
30,5,0,0,1
28,1,1,0,0
38,2,0,0,0
31,1,0,1,0
29,4,0,1,0
34,3,1,0,0
36,2,1,0,0
37,1,0,0,0
29,1,0,0,0
37,6,0,1,0
38,2,1,0,1
30,4,1,1,0
37,1,0,0,1
35,5,0,0,1
28,2,0,1,1
31,1,1,1,0
34,1,1,0,1
35,3,0,0,0
35,4,0,0,0
35,1,1,1,0
28,1,0,0,1
28,1,1,1,0
28,2,0,0,1
30,3,0,0,0
36,6,0,1,1
30,4,1,0,0
31,5,1,0,0
31,1,0,1,0
28,1,1,0,1
35,3,0,1,0
37,2,0,0,0
29,1,1,0,0
34,4,0,0,0
31,1,0,1,0
30,2,0,1,0
35,3,1,1,0
38,1,1,0,1
27,1,1,0,0
29,2,0,0,0
35,6,0,1,1
29,1,0,0,0
37,3,1,0,1
34,2,0,0,0
37,1,0,1,0
28,1,0,1,1
36,1,1,1,0
30,4,1,0,1
37,3,0,0,0
36,1,0,0,1
33,1,0,1,0
37,2,0,0,0
35,1,1,1,0
27,5,0,0,1
28,4,0,0,0
30,6,0,1,0
34,1,1,0,0
35,1,1,0,0
37,1,0,1,0
27,2,0,0,1
38,3,0,1,0
30,4,0,0,1
30,1,1,0,0
36,2,0,0,0
30,1,0,1,0
34,1,1,1,1
30,5,1,0,0
37,2,1,0,0
37,4,0,1,0
30,1,0,0,0
38,6,0,1,0
36,2,0,0,0
34,3,1,0,0
34,1,0,0,1
31,1,1,0,0
30,4,0,1,0
35,1,1,1,0
33,1,1,0,1
30,3,0,0,0
31,5,0,0,0
29,1,0,1,0
30,1,0,0,0
30,4,1,1,0
30,2,1,0,1
35,3,0,1,1
31,6,0,1,1
27,1,1,0,0
37,2,1,0,0
34,1,0,1,0
30,4,0,0,0
34,3,0,1,0
31,2,0,0,0
34,5,1,1,0
34,1,0,0,0
27,1,0,1,0
30,2,0,1,0
37,4,1,0,0
37,1,1,0,1
37,1,0,0,0
27,2,0,0,1
30,6,0,1,0
31,1,1,0,1
30,3,1,0,0
37,4,0,0,0
34,1,0,0,0
27,5,0,1,1
30,1,1,1,0
34,2,1,0,1
38,3,0,1,0
35,1,0,0,1
34,4,1,1,0
29,2,0,0,0
31,1,1,1,0
30,1,0,0,0
30,3,0,0,0
30,6,0,1,0
34,1,1,1,0
29,4,1,0,0
27,5,0,1,0
29,2,1,0,1
30,3,0,1,0
31,1,0,0,1
34,1,1,0,0
31,2,0,0,0
36,4,0,1,0
37,1,0,1,0
30,3,1,0,0
30,2,1,0,0
30,1,1,0,0
34,1,0,0,0
36,6,0,1,0
30,5,0,0,0
34,3,1,1,0
31,1,0,0,1
30,1,0,0,0
35,2,0,1,0
36,1,1,1,0
27,1,1,0,1
30,4,0,0,0
38,2,0,0,0
31,1,0,1,0
37,1,0,0,0
34,1,1,1,0
30,2,0,0,0
36,5,0,0,1
35,6,0,1,1
30,1,1,0,0
27,2,1,0,1
34,1,0,1,0
30,1,0,0,0
30,3,0,1,0
30,2,0,0,0
30,4,1,0,0
27,1,0,0,1
36,1,0,1,0
30,2,1,1,1
34,3,1,1,0
34,5,1,0,1
37,1,0,0,0
27,4,0,0,1
37,6,0,1,0
30,1,0,0,0
37,3,1,0,0
27,2,0,0,1
31,1,1,1,0
31,1,0,1,0
27,4,1,1,0
27,2,1,0,1
30,3,0,0,0
35,1,0,0,1
28,5,0,1,0
30,2,0,0,0
37,1,1,1,0
30,4,1,0,1
37,3,0,0,0
37,6,0,1,0
30,1,1,0,0
29,1,1,0,0
36,1,0,1,0
30,2,0,0,0
37,4,0,1,0
37,1,0,0,1
31,1,1,0,0
27,5,0,0,1
30,1,0,1,0
29,1,0,1,0
30,3,1,0,0
31,4,1,0,0
36,1,0,1,0
34,1,0,0,0
34,6,0,1,0
30,2,1,0,1
37,3,1,0,0
34,1,0,0,1
30,4,0,0,0
38,2,0,1,0
28,5,1,1,0
27,1,1,0,1
28,3,0,0,0
37,2,0,0,0
27,1,1,1,0
38,4,0,0,0
28,1,1,1,0
36,2,0,0,0
37,3,0,1,0
28,6,0,1,1
30,1,1,0,0
28,2,1,0,1
30,4,0,1,0
27,5,1,0,1
30,3,0,1,0
28,2,0,0,1
30,1,1,1,0
27,1,0,0,1
34,1,0,1,0
37,4,0,1,0
36,3,1,0,0
37,1,1,0,1
31,1,1,0,0
37,2,0,0,0
37,6,0,1,0
31,1,0,0,0
35,5,1,0,1
30,2,0,0,0
36,1,0,0,0
29,1,0,1,0
36,1,1,1,0
37,2,1,0,1
30,3,0,1,0
33,4,0,0,1
31,1,0,1,0
30,2,0,0,0
37,1,1,1,0
31,1,0,0,0
37,3,0,0,0
34,6,0,1,0
28,4,1,1,0
30,1,1,0,0
31,1,0,1,0
35,2,0,0,0
28,3,0,1,0
34,1,0,0,1
30,1,1,0,0
34,4,0,0,0
31,1,0,1,0
30,1,1,1,1
30,3,1,0,0
35,2,1,0,0
30,5,0,0,0
30,1,0,0,0
34,6,0,1,0
34,2,0,0,0
31,3,1,1,0
29,1,0,0,1
30,1,1,0,0
29,2,0,1,0
34,1,1,1,0
34,4,1,0,1
31,3,0,0,0
27,2,0,0,1
38,1,0,1,0
30,5,0,0,0
38,1,1,1,0
36,2,1,0,1
35,4,0,0,0
28,6,0,1,1
34,1,1,0,0
30,2,1,0,0
27,1,0,1,0
30,1,0,0,0
31,3,0,1,0
30,4,0,0,0
34,1,1,0,0
31,1,0,0,0
29,5,0,1,0
34,2,0,1,0
33,3,1,1,0
31,1,1,0,1
30,4,0,0,0
36,2,0,0,0
28,6,0,1,0
31,1,1,0,1
29,3,1,0,0
37,2,0,0,0
34,1,0,1,0
28,4,0,1,1
30,1,1,1,0
28,5,1,0,1
29,3,0,0,0
30,1,0,0,1
37,1,1,1,0
27,2,0,0,1
29,4,1,1,0
36,1,0,0,0
35,3,0,0,1
28,6,0,1,1
36,1,1,0,0
29,1,1,0,0
37,1,0,1,0
31,4,1,0,1
28,5,0,1,0
31,1,0,0,1
36,1,1,0,0
36,2,0,0,0
31,1,0,1,0
30,1,0,1,0
29,4,1,0,0
38,2,1,0,0
38,1,1,1,0
29,1,0,0,0
27,6,0,1,0
35,2,0,0,0
30,3,1,0,0
29,5,0,0,1
31,1,0,0,0
31,2,0,1,0
34,1,1,1,0
29,1,1,0,1
37,3,0,0,0
36,2,0,0,0
34,4,0,1,0
30,1,0,0,0
31,1,1,1,0
31,2,0,0,0
31,3,0,1,0
37,6,0,1,1
30,5,1,0,0
31,4,1,0,0
38,1,0,1,0
28,1,0,0,1
30,3,0,1,0
27,2,0,0,1
27,1,1,0,0
30,1,0,0,0
36,4,0,1,0
27,2,1,1,1
34,3,1,0,1
37,1,1,0,1
38,1,0,0,0
37,5,0,0,1
37,6,0,1,0
37,4,0,0,0
37,3,1,0,0
36,2,0,0,0
35,1,1,0,0
30,1,0,1,0
30,1,1,1,0
30,2,1,0,1
30,4,0,1,0
30,1,0,0,1
34,1,0,1,0
30,2,0,0,0
30,5,1,1,0
34,1,1,0,1
37,3,0,0,0
30,6,0,1,0
29,1,1,1,0
33,1,1,0,0
34,1,0,1,0
38,2,0,0,0
31,3,0,1,0
30,1,0,0,1
35,4,1,0,0
30,2,0,0,0
37,1,0,1,0
34,5,0,1,0
30,3,1,0,0
29,2,1,0,0
30,1,0,0,0
27,4,0,0,1
30,6,0,1,0
36,2,1,0,1
37,3,1,1,0
30,1,0,0,1
37,1,0,0,0
30,2,0,1,0
27,4,1,1,0
37,1,1,0,1
28,5,0,0,0
34,2,0,0,0
29,1,1,1,0
37,1,0,0,0
28,1,1,1,0
30,4,0,0,0
35,3,0,0,0
30,6,0,1,1
30,1,1,0,0
37,2,1,0,0
30,1,0,1,0
30,1,1,0,1
28,4,0,1,0
36,5,0,0,1
36,1,1,0,0
29,1,0,0,0
35,1,0,1,0
30,2,0,1,0
34,3,1,1,0
30,4,1,0,1
33,1,1,0,0
37,2,0,0,0
30,6,0,1,0
30,1,0,0,0
28,3,1,0,0
35,2,0,0,0
37,5,0,1,1
30,1,0,1,0
30,1,1,1,0
28,2,1,0,1
36,3,0,0,0
28,1,0,0,1
30,1,0,1,0
31,4,0,0,0
29,1,1,1,0
33,1,0,0,0
29,3,0,0,0
29,6,0,1,0
31,1,1,0,0
29,5,1,0,0
27,4,0,1,0
28,2,0,0,1
31,3,0,1,0
30,1,0,0,1
28,1,1,0,0
30,2,0,0,0
27,1,0,1,0
37,4,1,1,1
36,3,1,0,0
30,2,1,0,0
36,1,0,1,0
29,1,0,0,0
36,6,0,1,1
34,2,0,0,0
34,4,1,0,0
29,1,0,0,1
37,1,1,0,0
30,2,0,1,0
35,1,1,1,0
27,1,1,0,1
36,3,0,0,0
35,4,0,0,0
30,1,0,1,0
31,1,0,0,0
30,1,1,1,0
29,5,1,0,1
36,3,0,1,0
29,6,0,1,1
37,4,1,0,0
30,2,1,0,0
37,1,0,1,0
36,1,0,0,0
28,3,0,1,0
37,2,0,0,0
30,1,1,1,0
30,4,0,0,0
30,1,0,1,0
30,2,0,1,0
31,5,1,0,0
30,1,1,0,1
29,1,0,0,0
37,2,0,0,0
29,6,0,1,0
37,1,1,0,1
36,3,1,0,1
31,2,0,0,0
27,1,0,0,0
33,1,0,1,0
27,1,1,1,0
37,4,1,0,1
30,3,0,1,0
29,5,0,0,1
34,1,1,1,0
30,2,0,0,0
33,1,1,1,0
29,1,0,0,0
37,4,0,0,0
30,6,0,1,0
33,1,1,1,0
30,1,1,0,0
30,1,0,1,0
36,2,1,0,1
37,3,0,1,0
37,4,0,0,1
37,5,1,0,1
31,2,0,0,0
31,1,0,1,0
30,1,0,1,0
29,3,1,0,0
37,2,1,0,0
30,4,1,0,0
37,1,0,0,0
38,6,0,1,0
30,2,0,0,0
30,3,1,1,0
36,1,0,0,1
35,1,0,0,0
31,5,0,1,0
30,1,1,1,0
29,1,1,0,1
36,3,0,0,0
37,2,0,0,0
29,1,0,1,0
28,1,0,0,1
30,4,1,1,0
30,2,0,0,0
29,3,0,0,0
31,6,0,1,1
37,1,1,0,0
30,2,1,0,0
37,5,0,1,1
33,4,0,0,0
30,3,0,1,0
31,2,0,0,0
38,1,1,0,0
34,1,0,0,0
30,1,0,1,0
35,2,1,1,1
27,4,1,0,0
29,1,1,0,1
29,1,0,0,0
27,2,0,0,1
34,6,0,1,0
29,5,0,0,0
30,3,1,0,0
31,4,0,0,0
34,1,1,1,0
31,1,0,1,0
31,1,1,1,0
37,2,1,0,1
37,3,0,0,0
30,1,0,0,1
35,4,0,1,0
38,2,0,0,0
30,1,1,1,0
30,1,1,0,1
28,5,0,0,0
35,6,0,1,0
30,1,1,0,0
30,4,1,0,0
37,1,0,1,0
28,4,0,0,1
